document,method,path,status,mcp_family,capability,rule
app-connections/mongodb/delete.mdx,DELETE,/api/v1/app-connections/mongodb/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mongodb/get-by-id.mdx,GET,/api/v1/app-connections/mongodb/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/mongodb/get-by-name.mdx,GET,/api/v1/app-connections/mongodb/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/mongodb/list.mdx,GET,/api/v1/app-connections/mongodb,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/mongodb/update.mdx,PATCH,/api/v1/app-connections/mongodb/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mssql/available.mdx,GET,/api/v1/app-connections/mssql/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/mssql/create.mdx,POST,/api/v1/app-connections/mssql,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mssql/delete.mdx,DELETE,/api/v1/app-connections/mssql/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mssql/get-by-id.mdx,GET,/api/v1/app-connections/mssql/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/mssql/get-by-name.mdx,GET,/api/v1/app-connections/mssql/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/mssql/list.mdx,GET,/api/v1/app-connections/mssql,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/mssql/update.mdx,PATCH,/api/v1/app-connections/mssql/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mysql/available.mdx,GET,/api/v1/app-connections/mysql/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/mysql/create.mdx,POST,/api/v1/app-connections/mysql,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mysql/delete.mdx,DELETE,/api/v1/app-connections/mysql/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/mysql/get-by-id.mdx,GET,/api/v1/app-connections/mysql/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/mysql/get-by-name.mdx,GET,/api/v1/app-connections/mysql/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/mysql/list.mdx,GET,/api/v1/app-connections/mysql,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/mysql/update.mdx,PATCH,/api/v1/app-connections/mysql/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
